,Make,Model,2016,2017,2018,2019,2020,2021,January_2022,February_2022,March_2022,April_2022,May_2022,June_2022,2022,Ex-Showroom_Price,Displacement_in_cc,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity_in_litres,Fuel_Type,Height_in_mm,Length_in_mm,Width_in_mm,Body_Type,Doors,City_Mileage_in_km_per_litre,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range_in_km_per_full_charge,Max_Power_in_hp,Max_Torque_in_Nm
805,Mercedes-Benz,Amg-Gt,731.97,878.01,843.13,629.73,94.43,861.72,60.59,248.01,245.98,118.16,71.31,242.8,986.85,21583466.0,3982.0,8.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,75.0,Petrol,1288.0,4546.0,1939.0,Coupe,2,5.0,,7.8 km/litre,,1645 kg,7,,Ventilated Disc,Ventilated Disc,AMG RIDE CONTROL Suspension,AMG RIDE CONTROL Suspension,,,265/35ZR19,295/30ZR20,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,Digital,Analog,Analog,Yes,2.0,Leather,Automatic,2630 mm,ZR20,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"Internal, With Remote",350 litres,Yes,Yes,Yes,Analog,Front,Yes,Front,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,5.75 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,1890 kg,"Drive side airbag, Front passenger knee airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,,Yes,,Yes,Yes,Yes,,All,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,503.02,650.0
808,Mercedes-Benz,B-Class,988.48,39.85,1090.82,412.24,90.4,611.54,200.34,39.67,33.98,140.1,246.45,87.97,748.51,2988311.0,1595.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Petrol,1557.0,4393.0,1786.0,MPV,5,9.5,14.2,14.81 km/litre,,1425 kg,7,190 mm,Ventilated Disc,Ventilated Disc,McPherson Strut,Four Link,1552 mm,1549 mm,205/55R16,205/55R16,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2699 mm,205/55R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",488 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,"With Remote, Manual",Analog,Automatic,Analog + Digital,Yes,11 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1950 kg,"Driver pelvic airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags, Drive side airbag, Front passenger pelvic airbag",Yes,Yes,Yes,Yes,7.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,120.33,200.0
812,Mercedes-Benz,C-Class,522.8,659.47,594.92,367.45,298.87,867.19,33.89,115.82,151.23,51.51,210.8,146.1,709.35,4020000.0,1950.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,66.0,Diesel,1442.0,4686.0,1810.0,Sedan,4,,,12.06 km/litre,,1655 kg,9,157 mm,Ventilated Disc,Ventilated Disc,AGILITY CONTROL suspension with selective damping system,AGILITY CONTROL suspension with selective damping system,,,225/50R17,225/50R17,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2840 mm,225/50R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",480 litres,Yes,Yes,,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.61 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,Yes,Yes,,,,Sport,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,All Rows,,"Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Drive side airbag",Yes,Yes,Yes,Yes,7.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,194.66,400.0
818,Mercedes-Benz,C-Class Cabriolet,639.03,901.27,622.91,1211.24,348.31,441.07,35.48,15.15,103.98,105.92,172.39,239.26,672.18,6426497.0,1991.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,60.0,Petrol,1409.0,4686.0,1810.0,Convertible,2,,,,,,9,,Ventilated Disc,Ventilated Disc,AGILITY CONTROL suspension with selective damping system,AGILITY CONTROL suspension with selective damping system,,,225/50 R17,225/50 R17,Electric Power,Only Front Windows,"Yes, with memory",Smart Key,Analog,Analog,Analog,Yes,4.0,Leather,Automatic,2840 mm,225/50 R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,With Remote,Yes,Automatic,Analog,Yes,5.8 meter,Yes,,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2200 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,261.58,370.0
819,Mercedes-Benz,Cla-Class,737.93,458.99,1013.35,291.98,883.2,88.55,212.74,105.69,50.52,96.25,184.32,35.94,685.46,3599000.0,1991.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,56.0,Petrol,1432.0,4630.0,1777.0,Sedan,4,11.04,15.04,15.04 km/litre,,1510 kg,7,160 mm,Ventilated Disc,Ventilated Disc,McPherson Strut,Four-link,1549 mm,1547 mm,225/45R17,225/45R17,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2699 mm,225/45R17,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"With Remote, Internal",470 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11 meter,Yes,Driver & Front Passenger,Not Applicable,"Fully automatic climate control, 2 Zone Climate Control",,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,1955 kg,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,180.5,300.0
822,Mercedes-Benz,Cls,575.57,512.45,464.92,540.12,997.5,595.79,47.39,16.39,96.79,165.08,38.19,221.35,585.19,8470000.0,1950.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,,Diesel,1435.0,4988.0,1890.0,Sedan,5,,,,,,9,,Ventilated Disc,Ventilated Disc,,,,,225 / 45 R18,225 / 40 R18,Electric Power,All Windows,"Yes, with memory","Remote, Smart Key",Digital,Digital,Digital,Yes,5.0,Leather,Automatic,,225 / 45 R18,Yes,2,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"With Remote, Internal",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"With Remote, Internal",Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2445 kg,"Driver frontal airbag, Front passenger frontal airbag, Curtain airbags",Yes,Yes,Yes,Yes,7.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,248.4,500.0
823,Mercedes-Benz,E-Class,940.74,693.09,501.1,1056.17,1019.52,628.67,55.48,60.58,60.39,62.61,45.02,140.8,424.88,5861062.0,1991.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,80.0,Petrol,1494.0,5063.0,1860.0,Sedan,4,8.5,12.0,12 km/litre,,,,,Ventilated Disc,Ventilated Disc,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",1595 mm,1597 mm,245/45 R17,245/45 R17,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,3079 mm,245/45 R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",540 litres,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,"Internal, With Remote",Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,3 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags",Yes,Yes,Yes,Yes,7.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,181.48,300.0
831,Mercedes-Benz,E-Class All Terrain,1250.53,31.94,120.02,446.38,702.5,160.14,237.7,61.6,227.4,141.46,186.39,2.12,856.67,7500000.0,1950.0,6.0,4.0,RWD (Rear Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,80.0,Diesel,1475.0,4933.0,1852.0,SUV,4,,,12.06 km/litre,,,,155 mm,Ventilated Disc,Ventilated Disc,"McPhersons axle with coil spring Coil springs, twin-tube gas-filled with SDD/coil springs",Multi link independent suspensions with coil spring Single-tube gas-filled with SDD,1595 mm,1597 mm,245/45 R19,245/45 R19,Electric Power,All Windows,"Yes, with memory",Smart Key,Analog,Analog,Analog,Yes,5.0,Leather,Automatic,3079 mm,245/45 R19,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,Internal,540 litres,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Manual,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,3 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Driver knee airbag",Yes,Yes,Yes,Yes,7.0,,"Rake, Reach",,Air Conditioner : Standard,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Semi Automatic Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,Yes,,,,,,194.0,400.0
832,Mercedes-Benz,E-Class Cabriolet,1025.41,79.88,1034.07,166.78,642.79,209.42,243.48,132.96,104.88,201.23,21.21,31.04,734.8,7711338.0,2996.0,6.0,4.0,,V,BS IV,"Front, Longitudinal",Injection,80.0,Petrol,1398.0,4703.0,1786.0,Convertible,2,4.5,8.5,10 km/litre,,1640 kg,,,Ventilated Disc,Ventilated Disc,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",862 mm,1081 mm,255/40 R18,255/35 R18,Electric Power,All Windows,,Smart Key,Analog,Analog,Analog,Yes,4.0,,,2760 mm,255/35 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,540 litres,Yes,Yes,Yes,Digital,Front,Yes,Yes,Yes,,Yes,Internal,Analog,Automatic,Analog,Yes,5.6 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,,,Yes,,,,,,,,,Yes,,,Yes,Yes,All Rows,2140 kg,"Curtain airbags, Driver frontal airbag, Drive side airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,10.3:1,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,,Yes,,,Yes,,,,,,329.43,480.0
833,Mercedes-Benz,G-Class,751.08,998.36,1143.89,259.11,883.44,994.43,237.15,96.54,13.74,55.48,108.75,152.07,663.73,21875136.0,3982.0,8.0,4.0,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,96.0,Petrol,1938.0,4763.0,1855.0,SUV,5,,,,,2560 kg,9,205 mm,Ventilated Disc,Ventilated Disc,Rigid Axle,Rigid Axle,1475 mm,1475 mm,285/45R21,285/45R21,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,7.0,Leather,Automatic,2850 mm,285/45R21,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3rd years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,480 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,,4th year /with (absolutely no mileage restriction),Yes,Internal,,Automatic,Analog + Digital,Yes,13.5 meter,Yes,Driver & Front Passenger,Yes,2 Zone Climate Control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,3200 kg,"Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver head airbag, Front passenger head airbag",Yes,Yes,Yes,Yes,10.0,8.6:1,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,585.0,850.0
835,Mercedes-Benz,Gla-Class,724.74,388.16,301.13,544.61,356.76,1254.13,228.84,123.94,53.4,242.74,172.69,173.31,994.92,3438000.0,1991.0,4.0,4.0,4WD,In-line,BS IV,"Front, Longitudinal",Injection,50.0,Petrol,1494.0,4424.0,1804.0,SUV,5,10.0,13.8,13.8 km/litre,,1525 kg,7,183 mm,Ventilated Disc,Ventilated Disc,MacPherson Strut,MacPherson strut,1569 mm,1560 mm,235/50R18,235/50R18,Electric Power,All Windows,Power seats,Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2699 mm,235/50R18,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,Internal,421 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11.84 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1940 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,180.5,300.0
841,Mercedes-Benz,Glc,94.36,287.53,1155.52,552.82,824.26,570.06,242.68,28.65,167.93,115.46,9.94,78.31,642.97,5275000.0,1991.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,66.0,Petrol,1644.0,4658.0,1890.0,SUV,5,,,13.51 km/litre,,,9,,Ventilated Disc,Ventilated Disc,"Double wishbone, coil springs, single-tube gas-filled shock absorber, stabiliser bar","Multi-link suspension, coil springs, twin-tube gas-filled shock absorbers, stabiliser bar",1621 mm,1617 mm,235/55R19,235/55R19,Electric Power,All Windows,"Yes, with memory",Smart Key,Digital,"Analog, Digital",Digital,Yes,5.0,Leather,Automatic,2873 mm,235/55R19,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,580 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,With Remote,Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,Yes,Yes,,Yes,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2360 kg,"Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag, Drive side airbag",Yes,Yes,Yes,Yes,7.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,194.31,320.0
843,Mercedes-Benz,Gle,61.27,1132.95,109.9,1133.22,163.0,1174.21,26.26,234.8,133.4,180.61,124.32,55.6,754.99,7370000.0,1950.0,4.0,4.0,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,93.0,Diesel,1772.0,4924.0,2157.0,SUV,5,,,,,,9,,Ventilated Disc,Ventilated Disc,AIRMATIC,AIRMATIC,1667 mm,1687 mm,265/45 R20,265/45 R20,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2915 mm,265/45 R20,Yes,3,DVD Player with USB & Aux-in,Yes,Yes,,Yes,"Internal, With Remote",825 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,4 Zone climate control,Yes,Yes,Yes,Yes,Yes,Yes,"Normal, Comfort, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2910 kg,"Front passenger head airbag, Drive side airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,7.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,9G-TRONIC,Yes,Yes,,Yes,Yes,,,241.65,500.0
845,Mercedes-Benz,Gls,1019.44,589.73,1125.57,886.17,228.93,40.5,147.07,73.4,139.1,197.48,243.44,109.42,909.91,8820000.0,2987.0,6.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,100.0,Diesel,1850.0,5120.0,1934.0,SUV,4,6.5,10.5,11.6 km/litre,,2535 kg,7,307 mm,Ventilated Disc,Ventilated Disc,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",,,275/55 R19,275/55 R19,Electric Power,All Windows,"Yes, with memory",,,,Yes,,5.0,Leather,Automatic,3075 mm,19,,,CD Player with Aux-in,,,3rd years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,,,Yes,,,,,,,4th year /with (absolutely no mileage restriction),,Internal,,Automatic,Analog,Yes,6.2 meter,Yes,Driver & Front Passenger,,2 Zone Climate Control,,Yes,,,,,,Yes,,,,,,,Yes,Yes,,3250 kg,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Front passenger pelvic airbag, Driver pelvic airbag, Curtain airbags",Yes,Yes,Yes,,9.0,17.7:1,"Reach, Rake",,,Front & rear sensors with 360 degree view,Yes,,,,,,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes,,Yes,,,Yes,,,Only front,,,Yes,,Yes,Yes,,Yes,Yes,,,,,,254.47,619.0
850,Mercedes-Benz,Maybach,130.06,753.55,915.14,907.35,773.2,1241.21,214.49,135.11,177.23,110.15,46.2,68.02,751.2,27308312.0,5980.0,12.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,80.0,Petrol,1498.0,5453.0,1899.0,Sedan,4,,,7.8 km/litre,,2200 kg,7,,Ventilated Disc,Ventilated Disc,Airmatic Air Suspension,Airmatic Air Suspension,,,245/40R20,245/40R20,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,3365 mm,245/40R20,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"With Remote, Internal",510 litres,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,6.45 meter,Yes,Driver & Front Passenger,Not Applicable,4 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Drive side airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Audio Controls,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,621.38,1000.0
852,Mercedes-Benz,S-Class,835.88,90.27,748.2,765.79,380.7,857.13,228.42,100.16,45.14,243.87,192.86,209.79,1020.24,13558438.0,2987.0,6.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,90.0,Diesel,1494.0,5116.0,1899.0,Sedan,4,9.0,13.5,13.5 km/litre,,2132 kg,7,140 mm,Ventilated Disc,Ventilated Disc,AIRMATIC suspension,AIRMATIC suspension,1624 mm,1637 mm,235/55R17,235/55R17,Electric Power,All Windows,Power seats,Smart Key,Digital,Analog,Analog,Yes,5.0,Fabric,Automatic,3035 mm,235/55R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,Internal,530 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Digital,Automatic,Analog + Digital,Yes,6.15 meter,Yes,Driver & Front Passenger,Not Applicable,4 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2690 kg,"Curtain airbags, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,8.0,15.8,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,254.47,620.0
